
Summary,CR
Emissions
,BC_PWR,0.00326086
,BC_DE,0.0888353
,CH4_PWR,0.00179269
,N2O_TRN,0.0107643
,CO2_PWR,11.9052
,CO2e_TRN,152.249
,CH4_TRN,0.0393436
,CO2_DE,53.4422
,CH4_DE,0.0218533
,CO2e_PWR,12.0249
,BC_TRN,0.0212913
,N2O_PWR,0.000262442
,N2O_DE,0.0028052
,CO2e_DE,54.7948
,CO2_TRN,147.635

Cost,87023.5

TID Demand

,CR
Fuel,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
E5INDGSL,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E5INDHYD,All,0,0,0,0,0,0,0.168,0.2257,0.2759,1.2971,1.4374,1.5778,1.7181,1.8584,1.9987,2.1391,2.2794,2.4197,2.56,2.7004,3.1368,3.5732,4.0097,4.4461,4.8826,5.319,5.7554,6.1919,6.6283,2.7829
E5INDCOK,All,4.091,3.713,4.0249,4.2445,4.4238,4.4962,4.5686,4.6411,4.7135,4.786,4.8584,4.9309,5.0033,5.0757,5.1482,5.2237,5.292,5.3527,5.4076,5.454,5.4931,5.5229,5.5453,5.556,5.5667,5.5774,5.5882,5.599,5.6098,5.6206
E5INDLPG,All,3.217,3.4098,3.6962,3.8978,4.0625,4.037,4.0116,3.9861,3.9607,3.9352,3.9094,3.8836,3.8577,3.8319,3.8061,3.7803,3.7544,3.7286,3.7028,3.6769,3.6882,3.6994,3.7106,3.7219,3.7331,3.7443,3.7556,3.7668,3.7781,3.7893
E5INDSUG,All,9.6046,9.6046,10.4113,10.9794,11.4431,12.0073,12.5715,13.1357,13.6999,14.2641,14.5961,14.9281,15.26,15.592,15.9239,16.2559,16.5879,16.9198,17.2518,17.5837,17.6372,17.6907,17.7441,17.7976,17.851,17.9045,17.9579,18.0114,18.0649,18.1183
E5INDBMS,All,3.9901,3.9901,4.3252,4.5612,4.7539,4.8995,5.0451,5.1908,5.3364,5.4821,5.5666,5.6512,5.7357,5.8203,5.9048,5.9894,6.0739,6.1585,6.243,6.3275,6.3469,6.3662,6.3855,6.4049,6.4242,6.4435,6.4629,6.4822,6.5015,6.5209
E5INDCOA,All,0.675,0.0067,0.0072,0.0076,0.0079,0.0079,0.0078,0.0078,0.0077,0.0077,0.0076,0.0076,0.0075,0.0075,0.0074,0.0074,0.0073,0.0073,0.0072,0.0072,0.0072,0.0072,0.0073,0.0073,0.0073,0.0073,0.0073,0.0074,0.0074,0.0074
E5INDIWA,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E5RESELE,All,14.967,15.221,15.769,16.4313,17.0057,17.4803,17.955,18.4296,18.9043,19.3789,19.7571,20.1353,20.5135,20.8917,21.2698,21.648,22.0262,22.4044,22.7826,23.1607,23.7541,24.3475,24.9409,25.5343,26.1277,26.7211,27.3144,27.9078,28.5012,29.0946
E5RESLPG,All,3.639,3.719,3.79304,3.85398,3.93697,4.0184,4.08488,4.14744,4.20573,4.25835,4.30506,4.34784,4.38844,4.42894,4.46764,4.50415,4.53702,4.56601,4.59214,4.6141,4.63253,4.64659,4.65707,4.66208,4.66709,4.67211,4.67713,4.68216,4.6872,4.69224
E5EXPELE,All,5.90816,4.99252,1.56106,3.04009,3.87546,3.87546,3.87546,3.87546,3.87546,3.87546,3.87546,3.87546,3.87546,3.87546,3.87546,3.87546,3.87546,3.87546,3.87546,3.87546,3.87546,3.87546,3.87546,3.87546,3.87546,3.87546,3.87546,3.87546,3.87546,3.87546
E5EXPFIR,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E5PUBELE,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E4DSL_PUB,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E4ELE_PUB,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
